,smiles,moltype,solvent,nm_b3lyp,nm_wf,nm_wfr,nm_wfe
0,O=C/C(C)=C(C)\OC,aldehyde,,258.6,250,251,247
1,O=C/C(C)=C(C)\Cl,aldehyde,,256.8,232,251,247
2,O=C/C(C)=C(C)\Br,aldehyde,,269.1,250,262,247
3,O=C/C(C)=C(C)\O,aldehyde,,247.0,250,247,247
4,O=C/C(C)=C/C,aldehyde,,239.6,232,247,236
5,O=C/C(C)=C(OC)\C,aldehyde,,240.0,250,251,247
6,O=CC(C)=C(OC)OC,aldehyde,,257.6,250,251,247
7,O=C/C(C)=C(OC)\Cl,aldehyde,,247.6,250,251,247
8,O=C/C(C)=C(OC)\Br,aldehyde,,264.2,250,262,247
9,O=C/C(C)=C(OC)\O,aldehyde,,234.4,250,251,247
10,O=C/C(C)=C/OC,aldehyde,,254.1,250,251,236
11,O=C/C(C)=C(Cl)\C,aldehyde,,252.5,232,251,247
12,O=C/C(C)=C(Cl)\OC,aldehyde,,252.3,250,251,247
13,O=CC(C)=C(Cl)Cl,aldehyde,,251.0,232,251,247
14,O=C/C(C)=C(Cl)\Br,aldehyde,,260.6,250,262,247
15,O=C/C(C)=C(Cl)\O,aldehyde,,266.1,250,251,247
16,O=C/C(C)=C/Cl,aldehyde,,228.3,232,251,236
17,O=C/C(C)=C(Br)\C,aldehyde,,255.3,250,262,247
18,O=C/C(C)=C(Br)\OC,aldehyde,,265.9,250,262,247
19,O=C/C(C)=C(Br)\Cl,aldehyde,,264.9,250,262,247
20,O=CC(C)=C(Br)Br,aldehyde,,263.9,250,262,247
21,O=C/C(C)=C(Br)\O,aldehyde,,258.8,250,262,247
22,O=C/C(C)=C/Br,aldehyde,,259.2,250,262,236
23,O=C/C(C)=C(O)\C,aldehyde,,242.6,250,247,247
24,O=C/C(C)=C(O)\OC,aldehyde,,236.0,250,251,247
25,O=C/C(C)=C(O)\Cl,aldehyde,,239.4,250,251,247
26,O=C/C(C)=C(O)\Br,aldehyde,,244.9,250,262,247
27,O=CC(C)=C(O)O,aldehyde,,235.6,250,243,247
28,O=C/C(C)=C/O,aldehyde,,220.3,250,243,236
29,O=C/C(C)=C\C,aldehyde,,233.5,232,247,236
30,O=C/C(C)=C\OC,aldehyde,,249.2,250,251,236
31,O=C/C(C)=C\Cl,aldehyde,,245.6,232,251,236
32,O=C/C(C)=C\Br,aldehyde,,259.6,250,262,236
33,O=C/C(C)=C\O,aldehyde,,237.6,250,243,236
34,O=CC(OC)=C(C)C,aldehyde,,257.2,257,264,247
35,O=C/C(OC)=C(C)\OC,aldehyde,,270.5,275,268,247
36,O=C/C(OC)=C(C)\Cl,aldehyde,,263.5,257,268,247
37,O=C/C(OC)=C(C)\Br,aldehyde,,273.1,275,279,247
38,O=C/C(OC)=C(C)\O,aldehyde,,267.5,275,264,247
39,O=C/C(OC)=C/C,aldehyde,,288.9,257,264,236
40,O=C/C(OC)=C(OC)\C,aldehyde,,294.5,275,268,247
41,O=C/C(OC)=C(OC)\Cl,aldehyde,,263.6,275,268,247
42,O=C/C(OC)=C(OC)\Br,aldehyde,,270.2,275,279,247
43,O=C/C(OC)=C(OC)\O,aldehyde,,284.6,275,268,247
44,O=C/C(OC)=C/OC,aldehyde,,267.2,275,268,236
45,O=C/C(OC)=C(Cl)\C,aldehyde,,301.1,257,268,247
46,O=C/C(OC)=C(Cl)\OC,aldehyde,,304.6,275,268,247
47,O=CC(OC)=C(Cl)Cl,aldehyde,,267.4,257,268,247
48,O=C/C(OC)=C(Cl)\Br,aldehyde,,275.2,275,279,247
49,O=C/C(OC)=C(Cl)\O,aldehyde,,295.3,275,268,247
50,O=C/C(OC)=C/Cl,aldehyde,,284.3,257,268,236
51,O=C/C(OC)=C(Br)\C,aldehyde,,305.5,275,279,247
52,O=C/C(OC)=C(Br)\OC,aldehyde,,307.7,275,279,247
53,O=C/C(OC)=C(Br)\Cl,aldehyde,,309.1,275,279,247
54,O=CC(OC)=C(Br)Br,aldehyde,,280.6,275,279,247
55,O=C/C(OC)=C(Br)\O,aldehyde,,275.0,275,279,247
56,O=C/C(OC)=C/Br,aldehyde,,278.7,275,279,236
57,O=C/C(OC)=C(O)\C,aldehyde,,248.5,275,264,247
58,O=C/C(OC)=C(O)\OC,aldehyde,,271.0,275,268,247
59,O=C/C(OC)=C(O)\Cl,aldehyde,,289.9,275,268,247
60,O=C/C(OC)=C(O)\Br,aldehyde,,261.7,275,279,247
61,O=CC(OC)=C(O)O,aldehyde,,265.5,275,260,247
62,O=C/C(OC)=C/O,aldehyde,,256.7,275,260,236
63,O=C/C(OC)=C\C,aldehyde,,272.0,257,264,236
64,O=C/C(OC)=C\OC,aldehyde,,283.1,275,268,236
65,O=C/C(OC)=C\Cl,aldehyde,,307.2,257,268,236
66,O=C/C(OC)=C\Br,aldehyde,,311.6,275,279,236
67,O=C/C(OC)=C\O,aldehyde,,302.7,275,260,236
68,O=CC(Cl)=C(C)C,aldehyde,,261.2,237,264,247
69,O=C/C(Cl)=C(C)\OC,aldehyde,,266.6,255,268,247
70,O=C/C(Cl)=C(C)\Cl,aldehyde,,265.5,237,268,247
71,O=C/C(Cl)=C(C)\Br,aldehyde,,274.2,255,279,247
72,O=C/C(Cl)=C(C)\O,aldehyde,,277.9,255,264,247
73,O=C/C(Cl)=C/C,aldehyde,,238.2,237,264,236
74,O=C/C(Cl)=C(OC)\C,aldehyde,,268.1,255,268,247
75,O=CC(Cl)=C(OC)OC,aldehyde,,268.0,255,268,247
76,O=C/C(Cl)=C(OC)\Cl,aldehyde,,263.2,255,268,247
77,O=C/C(Cl)=C(OC)\Br,aldehyde,,276.1,255,279,247
78,O=C/C(Cl)=C(OC)\O,aldehyde,,250.1,255,268,247
79,O=C/C(Cl)=C/OC,aldehyde,,267.4,255,268,236
80,O=C/C(Cl)=C(Cl)\C,aldehyde,,267.0,237,268,247
81,O=C/C(Cl)=C(Cl)\OC,aldehyde,,269.1,255,268,247
82,O=C/C(Cl)=C(Cl)\Br,aldehyde,,283.4,255,279,247
83,O=C/C(Cl)=C(Cl)\O,aldehyde,,259.6,255,268,247
84,O=C/C(Cl)=C/Cl,aldehyde,,246.7,237,268,236
85,O=C/C(Cl)=C(Br)\C,aldehyde,,275.4,255,279,247
86,O=C/C(Cl)=C(Br)\OC,aldehyde,,280.6,255,279,247
87,O=C/C(Cl)=C(Br)\Cl,aldehyde,,280.1,255,279,247
88,O=CC(Cl)=C(Br)Br,aldehyde,,286.4,255,279,247
89,O=C/C(Cl)=C(Br)\O,aldehyde,,279.7,255,279,247
90,O=C/C(Cl)=C/Br,aldehyde,,272.7,255,279,236
91,O=C/C(Cl)=C(O)\C,aldehyde,,248.4,255,264,247
92,O=C/C(Cl)=C(O)\OC,aldehyde,,260.7,255,268,247
93,O=C/C(Cl)=C(O)\Cl,aldehyde,,265.3,255,268,247
94,O=C/C(Cl)=C(O)\Br,aldehyde,,270.7,255,279,247
95,O=CC(Cl)=C(O)O,aldehyde,,238.1,255,260,247
96,O=C/C(Cl)=C/O,aldehyde,,252.3,255,260,236
97,O=C/C(Cl)=C\C,aldehyde,,262.1,237,264,236
98,O=C/C(Cl)=C\OC,aldehyde,,268.4,255,268,236
99,O=C/C(Cl)=C\Cl,aldehyde,,274.3,237,268,236
100,O=C/C(Cl)=C\Br,aldehyde,,284.4,255,279,236
101,O=C/C(Cl)=C\O,aldehyde,,265.0,255,260,236
102,O=CC(Br)=C(C)C,aldehyde,,274.5,247,274,247
103,O=C/C(Br)=C(C)\OC,aldehyde,,273.3,265,278,247
104,O=C/C(Br)=C(C)\Cl,aldehyde,,278.3,247,278,247
105,O=C/C(Br)=C(C)\Br,aldehyde,,286.2,265,289,247
106,O=C/C(Br)=C(C)\O,aldehyde,,266.9,265,274,247
107,O=C/C(Br)=C/C,aldehyde,,266.8,247,274,236
108,O=C/C(Br)=C(OC)\C,aldehyde,,277.4,265,278,247
109,O=CC(Br)=C(OC)OC,aldehyde,,264.9,265,278,247
110,O=C/C(Br)=C(OC)\Cl,aldehyde,,278.1,265,278,247
111,O=C/C(Br)=C(OC)\Br,aldehyde,,290.0,265,289,247
112,O=C/C(Br)=C(OC)\O,aldehyde,,264.7,265,278,247
113,O=C/C(Br)=C/OC,aldehyde,,254.4,265,278,236
114,O=C/C(Br)=C(Cl)\C,aldehyde,,280.0,247,278,247
115,O=C/C(Br)=C(Cl)\OC,aldehyde,,279.8,265,278,247
116,O=CC(Br)=C(Cl)Cl,aldehyde,,285.2,247,278,247
117,O=C/C(Br)=C(Cl)\Br,aldehyde,,291.7,265,289,247
118,O=C/C(Br)=C(Cl)\O,aldehyde,,270.0,265,278,247
119,O=C/C(Br)=C/Cl,aldehyde,,276.0,247,278,236
120,O=C/C(Br)=C(Br)\C,aldehyde,,283.9,265,289,247
121,O=C/C(Br)=C(Br)\OC,aldehyde,,295.2,265,289,247
122,O=C/C(Br)=C(Br)\Cl,aldehyde,,288.5,265,289,247
123,O=C/C(Br)=C(Br)\O,aldehyde,,282.9,265,289,247
124,O=C/C(Br)=C/Br,aldehyde,,266.0,265,289,236
125,O=C/C(Br)=C(O)\C,aldehyde,,269.7,265,274,247
126,O=C/C(Br)=C(O)\OC,aldehyde,,266.2,265,278,247
127,O=C/C(Br)=C(O)\Cl,aldehyde,,273.5,265,278,247
128,O=C/C(Br)=C(O)\Br,aldehyde,,281.9,265,289,247
129,O=CC(Br)=C(O)O,aldehyde,,279.6,265,270,247
130,O=C/C(Br)=C/O,aldehyde,,249.3,265,270,236
131,O=C/C(Br)=C\C,aldehyde,,282.1,247,274,236
132,O=C/C(Br)=C\OC,aldehyde,,279.4,265,278,236
133,O=C/C(Br)=C\Cl,aldehyde,,286.4,247,278,236
134,O=C/C(Br)=C\Br,aldehyde,,294.4,265,289,236
135,O=C/C(Br)=C\O,aldehyde,,274.9,265,270,236
136,O=CC(O)=C(C)C,aldehyde,,271.6,257,274,247
137,O=C/C(O)=C(C)\OC,aldehyde,,287.9,275,278,247
138,O=C/C(O)=C(C)\Cl,aldehyde,,293.9,257,278,247
139,O=C/C(O)=C(C)\Br,aldehyde,,303.3,275,289,247
140,O=C/C(O)=C(C)\O,aldehyde,,284.8,275,274,247
141,O=C/C(O)=C/C,aldehyde,,258.9,257,274,236
142,O=C/C(O)=C(OC)\C,aldehyde,,280.4,275,278,247
143,O=CC(O)=C(OC)OC,aldehyde,,279.9,275,278,247
144,O=C/C(O)=C(OC)\Cl,aldehyde,,294.0,275,278,247
145,O=C/C(O)=C(OC)\Br,aldehyde,,290.6,275,289,247
146,O=C/C(O)=C(OC)\O,aldehyde,,271.1,275,278,247
147,O=C/C(O)=C/OC,aldehyde,,263.3,275,278,236
148,O=C/C(O)=C(Cl)\C,aldehyde,,291.6,257,278,247
149,O=C/C(O)=C(Cl)\OC,aldehyde,,297.5,275,278,247
150,O=CC(O)=C(Cl)Cl,aldehyde,,277.7,257,278,247
151,O=C/C(O)=C(Cl)\Br,aldehyde,,305.1,275,289,247
152,O=C/C(O)=C(Cl)\O,aldehyde,,279.9,275,278,247
153,O=C/C(O)=C/Cl,aldehyde,,250.4,257,278,236
154,O=C/C(O)=C(Br)\C,aldehyde,,297.1,275,289,247
155,O=C/C(O)=C(Br)\OC,aldehyde,,304.8,275,289,247
156,O=C/C(O)=C(Br)\Cl,aldehyde,,290.7,275,289,247
157,O=CC(O)=C(Br)Br,aldehyde,,309.2,275,289,247
158,O=C/C(O)=C(Br)\O,aldehyde,,290.9,275,289,247
159,O=C/C(O)=C/Br,aldehyde,,274.7,275,289,236
160,O=C/C(O)=C(O)\C,aldehyde,,274.2,275,274,247
161,O=C/C(O)=C(O)\OC,aldehyde,,270.2,275,278,247
162,O=C/C(O)=C(O)\Cl,aldehyde,,279.7,275,278,247
163,O=C/C(O)=C(O)\Br,aldehyde,,281.8,275,289,247
164,O=C/C(O)=C/O,aldehyde,,271.9,275,270,236
165,O=C/C(O)=C\C,aldehyde,,275.3,257,274,236
166,O=C/C(O)=C\OC,aldehyde,,280.6,275,278,236
167,O=C/C(O)=C\Cl,aldehyde,,283.8,257,278,236
168,O=C/C(O)=C\Br,aldehyde,,293.2,275,289,236
169,O=C/C(O)=C\O,aldehyde,,303.2,275,270,236
170,O=CC=C(C)C,aldehyde,,230.4,222,236,236
171,O=C/C=C(C)\OC,aldehyde,,236.5,240,240,236
172,O=C/C=C(C)\Cl,aldehyde,,236.9,222,240,236
173,O=C/C=C(C)\Br,aldehyde,,250.7,240,251,236
174,O=C/C=C(C)\O,aldehyde,,233.9,240,236,236
175,O=C/C=C(OC)\C,aldehyde,,228.9,240,240,236
176,O=CC=C(OC)OC,aldehyde,,232.6,240,240,236
177,O=C/C=C(OC)\Cl,aldehyde,,228.3,240,240,236
1,O=C/C=C(OC)\Br,aldehyde,,254.1,240,251,236
2,O=C/C=C(OC)\O,aldehyde,,237.3,240,240,236
3,O=C/C=C(Cl)\C,aldehyde,,241.7,222,240,236
4,O=C/C=C(Cl)\OC,aldehyde,,238.9,240,240,236
5,O=CC=C(Cl)Cl,aldehyde,,238.5,222,240,236
6,O=C/C=C(Cl)\Br,aldehyde,,262.4,240,251,236
7,O=C/C=C(Cl)\O,aldehyde,,250.0,240,240,236
8,O=C/C=C(Br)\C,aldehyde,,249.6,240,251,236
9,O=C/C=C(Br)\OC,aldehyde,,254.0,240,251,236
10,O=C/C=C(Br)\Cl,aldehyde,,248.2,240,251,236
11,O=CC=C(Br)Br,aldehyde,,274.1,240,251,236
12,O=C/C=C(Br)\O,aldehyde,,255.1,240,251,236
13,O=C/C=C(O)\C,aldehyde,,225.8,240,236,236
14,O=C/C=C(O)\OC,aldehyde,,232.3,240,240,236
15,O=C/C=C(O)\Cl,aldehyde,,236.5,240,240,236
16,O=C/C=C(O)\Br,aldehyde,,234.9,240,251,236
17,O=CC=C(O)O,aldehyde,,222.0,240,232,236
0,O=CC(C)=C(C)C,aldehyde,,245.5,232,247,247
3,O=CC(C)=C,aldehyde,,209.4,220,229,224
4,O=CC(OC)=C(OC)OC,aldehyde,,256.2,275,268,247
7,O=CC(OC)=C,aldehyde,,264.2,245,246,224
8,O=CC(Cl)=C(Cl)Cl,aldehyde,,270.4,237,268,247
11,O=CC(Cl)=C,aldehyde,,239.7,225,246,224
12,O=CC(Br)=C(Br)Br,aldehyde,,291.5,265,289,247
15,O=CC(Br)=C,aldehyde,,262.2,235,256,224
16,O=CC(O)=C(O)O,aldehyde,,267.8,275,270,247
19,O=CC(O)=C,aldehyde,,238.9,245,256,224
21,O=C/C=C/C,aldehyde,,226.2,222,236,224
23,O=C/C=C/OC,aldehyde,,232.0,240,240,224
25,O=C/C=C/Cl,aldehyde,,238.3,222,240,224
27,O=C/C=C/Br,aldehyde,,235.7,240,251,224
29,O=C/C=C/O,aldehyde,,227.7,240,232,224
30,O=C/C=C\C,aldehyde,,218.3,222,236,224
31,O=C/C=C\OC,aldehyde,,239.6,240,240,224
32,O=C/C=C\Cl,aldehyde,,232.2,222,240,224
33,O=C/C=C\Br,aldehyde,,248.8,240,251,224
34,O=C/C=C\O,aldehyde,,242.6,240,232,224
35,O=CC=C,aldehyde,,196.4,210,218,213
0,O=C(O)/C(C)=C(C)\OC,acid,,237.7,235,229,247
1,O=C(O)/C(C)=C(C)\Cl,acid,,232.8,217,229,247
2,O=C(O)/C(C)=C(C)\Br,acid,,227.9,235,240,247
3,O=C(O)/C(C)=C(C)\O,acid,,233.7,235,225,247
4,O=C(O)/C(C)=C/C,acid,,214.0,217,225,236
5,O=C(O)/C(C)=C(OC)\C,acid,,235.5,235,229,247
6,O=C(O)C(C)=C(OC)OC,acid,,227.9,235,229,247
7,O=C(O)/C(C)=C(OC)\Cl,acid,,233.5,235,229,247
8,O=C(O)/C(C)=C(OC)\Br,acid,,239.9,235,240,247
9,O=C(O)/C(C)=C(OC)\O,acid,,223.8,235,229,247
10,O=C(O)/C(C)=C/OC,acid,,227.4,235,229,236
11,O=C(O)/C(C)=C(Cl)\C,acid,,230.1,217,229,247
12,O=C(O)/C(C)=C(Cl)\OC,acid,,233.9,235,229,247
13,O=C(O)C(C)=C(Cl)Cl,acid,,236.7,217,229,247
14,O=C(O)/C(C)=C(Cl)\Br,acid,,243.3,235,240,247
15,O=C(O)/C(C)=C(Cl)\O,acid,,226.6,235,229,247
16,O=C(O)/C(C)=C/Cl,acid,,228.3,217,229,236
17,O=C(O)/C(C)=C(Br)\C,acid,,238.6,235,240,247
18,O=C(O)/C(C)=C(Br)\OC,acid,,237.4,235,240,247
19,O=C(O)/C(C)=C(Br)\Cl,acid,,245.2,235,240,247
20,O=C(O)C(C)=C(Br)Br,acid,,250.4,235,240,247
21,O=C(O)/C(C)=C(Br)\O,acid,,235.2,235,240,247
22,O=C(O)/C(C)=C/Br,acid,,236.9,235,240,236
23,O=C(O)/C(C)=C(O)\C,acid,,222.4,235,225,247
24,O=C(O)/C(C)=C(O)\OC,acid,,224.3,235,229,247
25,O=C(O)/C(C)=C(O)\Cl,acid,,225.8,235,229,247
26,O=C(O)/C(C)=C(O)\Br,acid,,249.8,235,240,247
27,O=C(O)C(C)=C(O)O,acid,,219.1,235,221,247
28,O=C(O)/C(C)=C/O,acid,,220.7,235,221,236
29,O=C(O)/C(C)=C\C,acid,,218.8,217,225,236
30,O=C(O)/C(C)=C\OC,acid,,235.4,235,229,236
31,O=C(O)/C(C)=C\Cl,acid,,232.0,217,229,236
32,O=C(O)/C(C)=C\Br,acid,,244.6,235,240,236
33,O=C(O)/C(C)=C\O,acid,,235.6,235,221,236
34,O=C(O)C(OC)=C(C)C,acid,,239.7,242,242,247
35,O=C(O)/C(OC)=C(C)\OC,acid,,244.3,260,246,247
36,O=C(O)/C(OC)=C(C)\Cl,acid,,248.2,242,246,247
37,O=C(O)/C(OC)=C(C)\Br,acid,,246.2,260,257,247
38,O=C(O)/C(OC)=C(C)\O,acid,,237.6,260,242,247
39,O=C(O)/C(OC)=C/C,acid,,228.4,242,242,236
40,O=C(O)/C(OC)=C(OC)\C,acid,,241.4,260,246,247
41,O=C(O)/C(OC)=C(OC)\Cl,acid,,248.7,260,246,247
42,O=C(O)/C(OC)=C(OC)\Br,acid,,250.8,260,257,247
43,O=C(O)/C(OC)=C(OC)\O,acid,,234.9,260,246,247
44,O=C(O)/C(OC)=C/OC,acid,,237.9,260,246,236
45,O=C(O)/C(OC)=C(Cl)\C,acid,,241.7,242,246,247
46,O=C(O)/C(OC)=C(Cl)\OC,acid,,247.3,260,246,247
47,O=C(O)C(OC)=C(Cl)Cl,acid,,255.3,242,246,247
48,O=C(O)/C(OC)=C(Cl)\Br,acid,,254.8,260,257,247
49,O=C(O)/C(OC)=C(Cl)\O,acid,,240.6,260,246,247
50,O=C(O)/C(OC)=C/Cl,acid,,250.0,242,246,236
51,O=C(O)/C(OC)=C(Br)\C,acid,,249.7,260,257,247
52,O=C(O)/C(OC)=C(Br)\OC,acid,,247.8,260,257,247
53,O=C(O)/C(OC)=C(Br)\Cl,acid,,254.5,260,257,247
54,O=C(O)C(OC)=C(Br)Br,acid,,260.2,260,257,247
55,O=C(O)/C(OC)=C(Br)\O,acid,,241.2,260,257,247
56,O=C(O)/C(OC)=C/Br,acid,,246.2,260,257,236
57,O=C(O)/C(OC)=C(O)\C,acid,,233.8,260,242,247
58,O=C(O)/C(OC)=C(O)\OC,acid,,258.4,260,246,247
59,O=C(O)/C(OC)=C(O)\Cl,acid,,237.2,260,246,247
60,O=C(O)/C(OC)=C(O)\Br,acid,,249.5,260,257,247
61,O=C(O)C(OC)=C(O)O,acid,,229.0,260,238,247
62,O=C(O)/C(OC)=C/O,acid,,245.5,260,238,236
63,O=C(O)/C(OC)=C\C,acid,,240.8,242,242,236
64,O=C(O)/C(OC)=C\OC,acid,,244.8,260,246,236
65,O=C(O)/C(OC)=C\Cl,acid,,255.0,242,246,236
66,O=C(O)/C(OC)=C\Br,acid,,254.9,260,257,236
67,O=C(O)/C(OC)=C\O,acid,,234.1,260,238,236
68,O=C(O)C(Cl)=C(C)C,acid,,240.6,222,242,247
69,O=C(O)/C(Cl)=C(C)\OC,acid,,249.9,240,246,247
70,O=C(O)/C(Cl)=C(C)\Cl,acid,,228.2,222,246,247
71,O=C(O)/C(Cl)=C(C)\Br,acid,,256.8,240,257,247
1,O=C(O)/C(Cl)=C(C)\O,acid,,236.4,240,242,247
2,O=C(O)/C(Cl)=C/C,acid,,233.2,222,242,236
3,O=C(O)/C(Cl)=C(OC)\C,acid,,245.8,240,246,247
4,O=C(O)C(Cl)=C(OC)OC,acid,,251.9,240,246,247
5,O=C(O)/C(Cl)=C(OC)\Cl,acid,,250.2,240,246,247
6,O=C(O)/C(Cl)=C(OC)\Br,acid,,254.2,240,257,247
7,O=C(O)/C(Cl)=C(OC)\O,acid,,225.1,240,246,247
8,O=C(O)/C(Cl)=C/OC,acid,,244.8,240,246,236
9,O=C(O)/C(Cl)=C(Cl)\C,acid,,247.9,222,246,247
10,O=C(O)/C(Cl)=C(Cl)\OC,acid,,251.5,240,246,247
11,O=C(O)/C(Cl)=C(Cl)\Br,acid,,261.6,240,257,247
12,O=C(O)/C(Cl)=C(Cl)\O,acid,,241.0,240,246,247
13,O=C(O)/C(Cl)=C/Cl,acid,,240.6,222,246,236
14,O=C(O)/C(Cl)=C(Br)\C,acid,,253.0,240,257,247
15,O=C(O)/C(Cl)=C(Br)\OC,acid,,254.9,240,257,247
16,O=C(O)/C(Cl)=C(Br)\Cl,acid,,240.8,240,257,247
17,O=C(O)C(Cl)=C(Br)Br,acid,,270.1,240,257,247
18,O=C(O)/C(Cl)=C(Br)\O,acid,,249.7,240,257,247
19,O=C(O)/C(Cl)=C/Br,acid,,247.8,240,257,236
20,O=C(O)/C(Cl)=C(O)\C,acid,,233.2,240,242,247
21,O=C(O)/C(Cl)=C(O)\OC,acid,,241.7,240,246,247
22,O=C(O)/C(Cl)=C(O)\Cl,acid,,242.1,240,246,247
23,O=C(O)/C(Cl)=C(O)\Br,acid,,265.3,240,257,247
24,O=C(O)C(Cl)=C(O)O,acid,,229.4,240,238,247
25,O=C(O)/C(Cl)=C/O,acid,,233.1,240,238,236
26,O=C(O)/C(Cl)=C\C,acid,,242.1,222,242,236
27,O=C(O)/C(Cl)=C\OC,acid,,251.6,240,246,236
28,O=C(O)/C(Cl)=C\Cl,acid,,251.7,222,246,236
29,O=C(O)/C(Cl)=C\Br,acid,,260.6,240,257,236
30,O=C(O)/C(Cl)=C\O,acid,,242.5,240,238,236
31,O=C(O)C(Br)=C(C)C,acid,,252.7,232,252,247
32,O=C(O)/C(Br)=C(C)\OC,acid,,254.6,250,256,247
33,O=C(O)/C(Br)=C(C)\Cl,acid,,264.4,232,256,247
34,O=C(O)/C(Br)=C(C)\Br,acid,,274.0,250,267,247
35,O=C(O)/C(Br)=C(C)\O,acid,,248.7,250,252,247
36,O=C(O)/C(Br)=C/C,acid,,244.2,232,252,236
37,O=C(O)/C(Br)=C(OC)\C,acid,,256.0,250,256,247
38,O=C(O)C(Br)=C(OC)OC,acid,,250.3,250,256,247
39,O=C(O)/C(Br)=C(OC)\Cl,acid,,260.2,250,256,247
40,O=C(O)/C(Br)=C(OC)\Br,acid,,253.4,250,267,247
41,O=C(O)/C(Br)=C(OC)\O,acid,,249.1,250,256,247
42,O=C(O)/C(Br)=C/OC,acid,,246.7,250,256,236
43,O=C(O)/C(Br)=C(Cl)\C,acid,,259.7,232,256,247
44,O=C(O)/C(Br)=C(Cl)\OC,acid,,267.8,250,256,247
45,O=C(O)C(Br)=C(Cl)Cl,acid,,237.0,232,256,247
46,O=C(O)/C(Br)=C(Cl)\Br,acid,,254.3,250,267,247
47,O=C(O)/C(Br)=C(Cl)\O,acid,,258.0,250,256,247
48,O=C(O)/C(Br)=C/Cl,acid,,253.1,232,256,236
49,O=C(O)/C(Br)=C(Br)\C,acid,,261.2,250,267,247
50,O=C(O)/C(Br)=C(Br)\OC,acid,,264.3,250,267,247
51,O=C(O)/C(Br)=C(Br)\Cl,acid,,267.0,250,267,247
52,O=C(O)/C(Br)=C(Br)\O,acid,,260.6,250,267,247
53,O=C(O)/C(Br)=C/Br,acid,,257.6,250,267,236
54,O=C(O)/C(Br)=C(O)\C,acid,,252.3,250,252,247
55,O=C(O)/C(Br)=C(O)\OC,acid,,240.3,250,256,247
56,O=C(O)/C(Br)=C(O)\Cl,acid,,260.8,250,256,247
57,O=C(O)/C(Br)=C(O)\Br,acid,,260.1,250,267,247
58,O=C(O)C(Br)=C(O)O,acid,,233.9,250,248,247
59,O=C(O)/C(Br)=C/O,acid,,239.0,250,248,236
60,O=C(O)/C(Br)=C\C,acid,,256.7,232,252,236
61,O=C(O)/C(Br)=C\OC,acid,,260.8,250,256,236
62,O=C(O)/C(Br)=C\Cl,acid,,265.3,232,256,236
63,O=C(O)/C(Br)=C\Br,acid,,271.0,250,267,236
64,O=C(O)/C(Br)=C\O,acid,,245.3,250,248,236
65,O=C(O)C(O)=C(C)C,acid,,229.2,242,252,247
66,O=C(O)/C(O)=C(C)\OC,acid,,253.0,260,256,247
67,O=C(O)/C(O)=C(C)\Cl,acid,,255.1,242,256,247
68,O=C(O)/C(O)=C(C)\Br,acid,,247.7,260,267,247
69,O=C(O)/C(O)=C(C)\O,acid,,222.6,260,252,247
70,O=C(O)/C(O)=C/C,acid,,237.6,242,252,236
71,O=C(O)/C(O)=C(OC)\C,acid,,239.8,260,256,247
72,O=C(O)C(O)=C(OC)OC,acid,,241.3,260,256,247
73,O=C(O)/C(O)=C(OC)\Cl,acid,,251.4,260,256,247
74,O=C(O)/C(O)=C(OC)\Br,acid,,255.8,260,267,247
75,O=C(O)/C(O)=C(OC)\O,acid,,260.8,260,256,247
76,O=C(O)/C(O)=C/OC,acid,,239.4,260,256,236
77,O=C(O)/C(O)=C(Cl)\C,acid,,247.4,242,256,247
