,smiles,moltype,solvent,nm_b3lyp,nm_wf,nm_wfr,nm_wfe
78,O=C(O)/C(O)=C(Cl)\OC,acid,,248.2,260,256,247
79,O=C(O)C(O)=C(Cl)Cl,acid,,254.6,242,256,247
80,O=C(O)/C(O)=C(Cl)\Br,acid,,257.6,260,267,247
81,O=C(O)/C(O)=C(Cl)\O,acid,,236.7,260,256,247
82,O=C(O)/C(O)=C/Cl,acid,,242.4,242,256,236
83,O=C(O)/C(O)=C(Br)\C,acid,,249.4,260,267,247
84,O=C(O)/C(O)=C(Br)\OC,acid,,263.1,260,267,247
85,O=C(O)/C(O)=C(Br)\Cl,acid,,267.0,260,267,247
86,O=C(O)C(O)=C(Br)Br,acid,,276.5,260,267,247
87,O=C(O)/C(O)=C(Br)\O,acid,,266.4,260,267,247
88,O=C(O)/C(O)=C/Br,acid,,247.8,260,267,236
89,O=C(O)/C(O)=C(O)\C,acid,,243.0,260,252,247
90,O=C(O)/C(O)=C(O)\OC,acid,,230.8,260,256,247
91,O=C(O)/C(O)=C(O)\Cl,acid,,246.4,260,256,247
92,O=C(O)/C(O)=C(O)\Br,acid,,254.9,260,267,247
93,O=C(O)/C(O)=C/O,acid,,236.5,260,248,236
94,O=C(O)/C(O)=C\C,acid,,245.8,242,252,236
95,O=C(O)/C(O)=C\OC,acid,,252.5,260,256,236
96,O=C(O)/C(O)=C\Cl,acid,,252.6,242,256,236
97,O=C(O)/C(O)=C\Br,acid,,273.6,260,267,236
98,O=C(O)/C(O)=C\O,acid,,232.9,260,248,236
99,O=C(O)C=C(C)C,acid,,216.5,207,214,236
100,O=C(O)/C=C(C)\OC,acid,,223.3,225,218,236
101,O=C(O)/C=C(C)\Cl,acid,,226.6,207,218,236
102,O=C(O)/C=C(C)\Br,acid,,243.1,225,229,236
103,O=C(O)/C=C(C)\O,acid,,215.3,225,214,236
104,O=C(O)/C=C(OC)\C,acid,,227.2,225,218,236
105,O=C(O)C=C(OC)OC,acid,,214.5,225,218,236
106,O=C(O)/C=C(OC)\Cl,acid,,218.8,225,218,236
107,O=C(O)/C=C(OC)\Br,acid,,245.5,225,229,236
108,O=C(O)/C=C(OC)\O,acid,,225.5,225,218,236
109,O=C(O)/C=C(Cl)\C,acid,,223.8,207,218,236
110,O=C(O)/C=C(Cl)\OC,acid,,224.3,225,218,236
111,O=C(O)C=C(Cl)Cl,acid,,228.4,207,218,236
112,O=C(O)/C=C(Cl)\Br,acid,,242.2,225,229,236
113,O=C(O)/C=C(Cl)\O,acid,,219.7,225,218,236
114,O=C(O)/C=C(Br)\C,acid,,235.0,225,229,236
115,O=C(O)/C=C(Br)\OC,acid,,254.1,225,229,236
116,O=C(O)/C=C(Br)\Cl,acid,,236.1,225,229,236
117,O=C(O)C=C(Br)Br,acid,,251.5,225,229,236
118,O=C(O)/C=C(Br)\O,acid,,230.5,225,229,236
119,O=C(O)/C=C(O)\C,acid,,213.0,225,214,236
120,O=C(O)/C=C(O)\OC,acid,,220.9,225,218,236
121,O=C(O)/C=C(O)\Cl,acid,,217.7,225,218,236
122,O=C(O)/C=C(O)\Br,acid,,227.6,225,229,236
123,O=C(O)C=C(O)O,acid,,210.9,225,210,236
0,O=C(O)C(C)=C(C)C,acid,,221.9,217,225,247
3,O=C(O)C(C)=C,acid,,204.3,205,207,224
4,O=C(O)C(OC)=C(OC)OC,acid,,241.6,260,246,247
7,O=C(O)C(OC)=C,acid,,253.0,230,224,224
8,O=C(O)C(Cl)=C(Cl)Cl,acid,,254.2,222,246,247
11,O=C(O)C(Cl)=C,acid,,231.0,210,224,224
12,O=C(O)C(Br)=C(Br)Br,acid,,266.3,250,267,247
15,O=C(O)C(Br)=C,acid,,248.8,220,234,224
16,O=C(O)C(O)=C(O)O,acid,,227.8,260,248,247
19,O=C(O)C(O)=C,acid,,229.8,230,234,224
21,O=C(O)/C=C/C,acid,,208.2,207,214,224
23,O=C(O)/C=C/OC,acid,,218.5,225,218,224
25,O=C(O)/C=C/Cl,acid,,219.5,207,218,224
27,O=C(O)/C=C/Br,acid,,231.3,225,229,224
29,O=C(O)/C=C/O,acid,,209.1,225,210,224
30,O=C(O)/C=C\C,acid,,206.2,207,214,224
31,O=C(O)/C=C\OC,acid,,220.1,225,218,224
32,O=C(O)/C=C\Cl,acid,,218.9,207,218,224
33,O=C(O)/C=C\Br,acid,,237.2,225,229,224
34,O=C(O)/C=C\O,acid,,214.8,225,210,224
35,O=C(O)C=C,acid,,197.1,195,196,213
0,O=C(C)/C(C)=C(C)\OC,ketone,,246.3,255,245,247
1,O=C(C)/C(C)=C(C)\Cl,ketone,,248.7,237,245,247
2,O=C(C)/C(C)=C(C)\Br,ketone,,251.0,255,256,247
3,O=C(C)/C(C)=C(C)\O,ketone,,236.5,255,241,247
4,O=C(C)/C(C)=C/C,ketone,,221.2,237,241,236
5,O=C(C)/C(C)=C(OC)\C,ketone,,251.8,255,245,247
6,O=C(C)C(C)=C(OC)OC,ketone,,235.7,255,245,247
7,O=C(C)/C(C)=C(OC)\Cl,ketone,,242.5,255,245,247
8,O=C(C)/C(C)=C(OC)\Br,ketone,,249.0,255,256,247
9,O=C(C)/C(C)=C(OC)\O,ketone,,234.0,255,245,247
10,O=C(C)/C(C)=C/OC,ketone,,239.7,255,245,236
11,O=C(C)/C(C)=C(Cl)\C,ketone,,251.3,237,245,247
12,O=C(C)/C(C)=C(Cl)\OC,ketone,,242.4,255,245,247
13,O=C(C)C(C)=C(Cl)Cl,ketone,,250.8,237,245,247
14,O=C(C)/C(C)=C(Cl)\Br,ketone,,262.2,255,256,247
15,O=C(C)/C(C)=C(Cl)\O,ketone,,236.7,255,245,247
16,O=C(C)/C(C)=C/Cl,ketone,,241.9,237,245,236
17,O=C(C)/C(C)=C(Br)\C,ketone,,261.2,255,256,247
18,O=C(C)/C(C)=C(Br)\OC,ketone,,257.6,255,256,247
19,O=C(C)/C(C)=C(Br)\Cl,ketone,,260.9,255,256,247
20,O=C(C)C(C)=C(Br)Br,ketone,,274.5,255,256,247
21,O=C(C)/C(C)=C(Br)\O,ketone,,257.5,255,256,247
22,O=C(C)/C(C)=C/Br,ketone,,245.2,255,256,236
23,O=C(C)/C(C)=C(O)\C,ketone,,241.8,255,241,247
24,O=C(C)/C(C)=C(O)\OC,ketone,,233.4,255,245,247
25,O=C(C)/C(C)=C(O)\Cl,ketone,,242.7,255,245,247
26,O=C(C)/C(C)=C(O)\Br,ketone,,250.6,255,256,247
27,O=C(C)C(C)=C(O)O,ketone,,231.7,255,237,247
28,O=C(C)/C(C)=C/O,ketone,,238.3,255,237,236
29,O=C(C)/C(C)=C\C,ketone,,227.6,237,241,236
30,O=C(C)/C(C)=C\OC,ketone,,242.1,255,245,236
31,O=C(C)/C(C)=C\Cl,ketone,,235.9,237,245,236
32,O=C(C)/C(C)=C\Br,ketone,,261.0,255,256,236
33,O=C(C)/C(C)=C\O,ketone,,232.2,255,237,236
34,O=C(C)C(OC)=C(C)C,ketone,,244.3,262,258,247
35,O=C(C)/C(OC)=C(C)\OC,ketone,,254.4,280,262,247
36,O=C(C)/C(OC)=C(C)\Cl,ketone,,269.9,262,262,247
37,O=C(C)/C(OC)=C(C)\Br,ketone,,264.1,280,273,247
38,O=C(C)/C(OC)=C(C)\O,ketone,,262.3,280,258,247
39,O=C(C)/C(OC)=C/C,ketone,,234.6,262,258,236
40,O=C(C)/C(OC)=C(OC)\C,ketone,,268.0,280,262,247
41,O=C(C)/C(OC)=C(OC)\Cl,ketone,,256.6,280,262,247
42,O=C(C)/C(OC)=C(OC)\Br,ketone,,262.2,280,273,247
43,O=C(C)/C(OC)=C(OC)\O,ketone,,252.0,280,262,247
44,O=C(C)/C(OC)=C/OC,ketone,,248.1,280,262,236
45,O=C(C)/C(OC)=C(Cl)\C,ketone,,282.9,262,262,247
46,O=C(C)/C(OC)=C(Cl)\OC,ketone,,264.2,280,262,247
47,O=C(C)C(OC)=C(Cl)Cl,ketone,,276.8,262,262,247
48,O=C(C)/C(OC)=C(Cl)\Br,ketone,,266.1,280,273,247
49,O=C(C)/C(OC)=C(Cl)\O,ketone,,247.0,280,262,247
50,O=C(C)/C(OC)=C/Cl,ketone,,249.2,262,262,236
51,O=C(C)/C(OC)=C(Br)\C,ketone,,292.6,280,273,247
52,O=C(C)/C(OC)=C(Br)\OC,ketone,,265.6,280,273,247
53,O=C(C)/C(OC)=C(Br)\Cl,ketone,,264.7,280,273,247
1,O=C(C)C(OC)=C(Br)Br,ketone,,270.6,280,273,247
2,O=C(C)/C(OC)=C(Br)\O,ketone,,267.5,280,273,247
3,O=C(C)/C(OC)=C/Br,ketone,,255.9,280,273,236
4,O=C(C)/C(OC)=C(O)\C,ketone,,247.1,280,258,247
5,O=C(C)/C(OC)=C(O)\OC,ketone,,247.2,280,262,247
6,O=C(C)/C(OC)=C(O)\Cl,ketone,,252.7,280,262,247
7,O=C(C)/C(OC)=C(O)\Br,ketone,,258.4,280,273,247
8,O=C(C)C(OC)=C(O)O,ketone,,242.3,280,254,247
9,O=C(C)/C(OC)=C/O,ketone,,244.0,280,254,236
10,O=C(C)/C(OC)=C\C,ketone,,268.7,262,258,236
11,O=C(C)/C(OC)=C\OC,ketone,,272.6,280,262,236
12,O=C(C)/C(OC)=C\Cl,ketone,,272.0,262,262,236
13,O=C(C)/C(OC)=C\Br,ketone,,280.0,280,273,236
14,O=C(C)/C(OC)=C\O,ketone,,254.3,280,254,236
15,O=C(C)C(Cl)=C(C)C,ketone,,266.4,242,258,247
16,O=C(C)/C(Cl)=C(C)\OC,ketone,,262.4,260,262,247
17,O=C(C)/C(Cl)=C(C)\Cl,ketone,,261.3,242,262,247
18,O=C(C)/C(Cl)=C(C)\Br,ketone,,271.1,260,273,247
19,O=C(C)/C(Cl)=C(C)\O,ketone,,249.4,260,258,247
20,O=C(C)/C(Cl)=C/C,ketone,,246.7,242,258,236
21,O=C(C)/C(Cl)=C(OC)\C,ketone,,270.7,260,262,247
22,O=C(C)C(Cl)=C(OC)OC,ketone,,270.2,260,262,247
23,O=C(C)/C(Cl)=C(OC)\Cl,ketone,,265.0,260,262,247
24,O=C(C)/C(Cl)=C(OC)\Br,ketone,,272.4,260,273,247
25,O=C(C)/C(Cl)=C(OC)\O,ketone,,251.6,260,262,247
26,O=C(C)/C(Cl)=C/OC,ketone,,254.9,260,262,236
27,O=C(C)/C(Cl)=C(Cl)\C,ketone,,279.3,242,262,247
28,O=C(C)/C(Cl)=C(Cl)\OC,ketone,,263.8,260,262,247
29,O=C(C)/C(Cl)=C(Cl)\Br,ketone,,276.4,260,273,247
30,O=C(C)/C(Cl)=C(Cl)\O,ketone,,277.5,260,262,247
31,O=C(C)/C(Cl)=C/Cl,ketone,,252.3,242,262,236
32,O=C(C)/C(Cl)=C(Br)\C,ketone,,269.7,260,273,247
33,O=C(C)/C(Cl)=C(Br)\OC,ketone,,283.4,260,273,247
34,O=C(C)/C(Cl)=C(Br)\Cl,ketone,,287.2,260,273,247
35,O=C(C)C(Cl)=C(Br)Br,ketone,,282.3,260,273,247
36,O=C(C)/C(Cl)=C(Br)\O,ketone,,279.5,260,273,247
37,O=C(C)/C(Cl)=C/Br,ketone,,259.2,260,273,236
38,O=C(C)/C(Cl)=C(O)\C,ketone,,244.6,260,258,247
39,O=C(C)/C(Cl)=C(O)\OC,ketone,,249.6,260,262,247
40,O=C(C)/C(Cl)=C(O)\Cl,ketone,,256.0,260,262,247
41,O=C(C)/C(Cl)=C(O)\Br,ketone,,289.1,260,273,247
42,O=C(C)C(Cl)=C(O)O,ketone,,246.8,260,254,247
43,O=C(C)/C(Cl)=C/O,ketone,,247.0,260,254,236
44,O=C(C)/C(Cl)=C\C,ketone,,256.7,242,258,236
45,O=C(C)/C(Cl)=C\OC,ketone,,264.7,260,262,236
46,O=C(C)/C(Cl)=C\Cl,ketone,,259.9,242,262,236
47,O=C(C)/C(Cl)=C\Br,ketone,,272.3,260,273,236
48,O=C(C)/C(Cl)=C\O,ketone,,272.2,260,254,236
49,O=C(C)C(Br)=C(C)C,ketone,,266.5,252,268,247
50,O=C(C)/C(Br)=C(C)\OC,ketone,,267.3,270,272,247
51,O=C(C)/C(Br)=C(C)\Cl,ketone,,278.8,252,272,247
52,O=C(C)/C(Br)=C(C)\Br,ketone,,288.7,270,283,247
53,O=C(C)/C(Br)=C(C)\O,ketone,,257.5,270,268,247
54,O=C(C)/C(Br)=C/C,ketone,,258.4,252,268,236
55,O=C(C)/C(Br)=C(OC)\C,ketone,,270.9,270,272,247
56,O=C(C)C(Br)=C(OC)OC,ketone,,274.3,270,272,247
57,O=C(C)/C(Br)=C(OC)\Cl,ketone,,268.0,270,272,247
58,O=C(C)/C(Br)=C(OC)\Br,ketone,,294.3,270,283,247
59,O=C(C)/C(Br)=C(OC)\O,ketone,,264.2,270,272,247
60,O=C(C)/C(Br)=C/OC,ketone,,264.6,270,272,236
61,O=C(C)/C(Br)=C(Cl)\C,ketone,,274.7,252,272,247
62,O=C(C)/C(Br)=C(Cl)\OC,ketone,,272.6,270,272,247
63,O=C(C)C(Br)=C(Cl)Cl,ketone,,298.0,252,272,247
64,O=C(C)/C(Br)=C(Cl)\Br,ketone,,295.6,270,283,247
65,O=C(C)/C(Br)=C(Cl)\O,ketone,,271.4,270,272,247
66,O=C(C)/C(Br)=C/Cl,ketone,,266.2,252,272,236
67,O=C(C)/C(Br)=C(Br)\C,ketone,,283.2,270,283,247
68,O=C(C)/C(Br)=C(Br)\OC,ketone,,276.0,270,283,247
69,O=C(C)/C(Br)=C(Br)\Cl,ketone,,295.7,270,283,247
70,O=C(C)/C(Br)=C(Br)\O,ketone,,297.6,270,283,247
1,O=C(C)/C(Br)=C/Br,ketone,,270.0,270,283,236
2,O=C(C)/C(Br)=C(O)\C,ketone,,252.8,270,268,247
3,O=C(C)/C(Br)=C(O)\OC,ketone,,259.6,270,272,247
4,O=C(C)/C(Br)=C(O)\Cl,ketone,,267.2,270,272,247
5,O=C(C)/C(Br)=C(O)\Br,ketone,,286.4,270,283,247
6,O=C(C)C(Br)=C(O)O,ketone,,258.5,270,264,247
7,O=C(C)/C(Br)=C/O,ketone,,250.1,270,264,236
8,O=C(C)/C(Br)=C\C,ketone,,266.3,252,268,236
9,O=C(C)/C(Br)=C\OC,ketone,,271.6,270,272,236
10,O=C(C)/C(Br)=C\Cl,ketone,,276.9,252,272,236
11,O=C(C)/C(Br)=C\Br,ketone,,284.4,270,283,236
12,O=C(C)/C(Br)=C\O,ketone,,279.7,270,264,236
13,O=C(C)C(O)=C(C)C,ketone,,266.2,262,268,247
14,O=C(C)/C(O)=C(C)\OC,ketone,,268.2,280,272,247
15,O=C(C)/C(O)=C(C)\Cl,ketone,,275.5,262,272,247
16,O=C(C)/C(O)=C(C)\Br,ketone,,284.2,280,283,247
17,O=C(C)/C(O)=C(C)\O,ketone,,262.1,280,268,247
18,O=C(C)/C(O)=C/C,ketone,,270.4,262,268,236
19,O=C(C)/C(O)=C(OC)\C,ketone,,283.7,280,272,247
20,O=C(C)C(O)=C(OC)OC,ketone,,266.4,280,272,247
21,O=C(C)/C(O)=C(OC)\Cl,ketone,,287.7,280,272,247
22,O=C(C)/C(O)=C(OC)\Br,ketone,,279.6,280,283,247
23,O=C(C)/C(O)=C(OC)\O,ketone,,274.7,280,272,247
24,O=C(C)/C(O)=C/OC,ketone,,266.4,280,272,236
25,O=C(C)/C(O)=C(Cl)\C,ketone,,279.1,262,272,247
26,O=C(C)/C(O)=C(Cl)\OC,ketone,,265.8,280,272,247
27,O=C(C)C(O)=C(Cl)Cl,ketone,,269.3,262,272,247
28,O=C(C)/C(O)=C(Cl)\Br,ketone,,280.9,280,283,247
29,O=C(C)/C(O)=C(Cl)\O,ketone,,262.3,280,272,247
30,O=C(C)/C(O)=C/Cl,ketone,,276.4,262,272,236
31,O=C(C)/C(O)=C(Br)\C,ketone,,293.7,280,283,247
32,O=C(C)/C(O)=C(Br)\OC,ketone,,279.6,280,283,247
33,O=C(C)/C(O)=C(Br)\Cl,ketone,,296.1,280,283,247
34,O=C(C)C(O)=C(Br)Br,ketone,,295.0,280,283,247
35,O=C(C)/C(O)=C(Br)\O,ketone,,312.2,280,283,247
36,O=C(C)/C(O)=C/Br,ketone,,283.0,280,283,236
37,O=C(C)/C(O)=C(O)\C,ketone,,283.1,280,268,247
38,O=C(C)/C(O)=C(O)\OC,ketone,,279.2,280,272,247
39,O=C(C)/C(O)=C(O)\Cl,ketone,,283.9,280,272,247
40,O=C(C)/C(O)=C(O)\Br,ketone,,287.4,280,283,247
41,O=C(C)/C(O)=C/O,ketone,,257.9,280,264,236
42,O=C(C)/C(O)=C\C,ketone,,280.6,262,268,236
43,O=C(C)/C(O)=C\OC,ketone,,272.4,280,272,236
44,O=C(C)/C(O)=C\Cl,ketone,,274.1,262,272,236
45,O=C(C)/C(O)=C\Br,ketone,,269.8,280,283,236
46,O=C(C)/C(O)=C\O,ketone,,283.4,280,264,236
47,O=C(C)C=C(C)C,ketone,,217.1,227,230,236
48,O=C(C)/C=C(C)\OC,ketone,,235.9,245,234,236
49,O=C(C)/C=C(C)\Cl,ketone,,225.0,227,234,236
50,O=C(C)/C=C(C)\Br,ketone,,235.2,245,245,236
51,O=C(C)/C=C(C)\O,ketone,,223.4,245,230,236
52,O=C(C)/C=C(OC)\C,ketone,,234.4,245,234,236
53,O=C(C)C=C(OC)OC,ketone,,224.7,245,234,236
54,O=C(C)/C=C(OC)\Cl,ketone,,231.9,245,234,236
55,O=C(C)/C=C(OC)\Br,ketone,,240.0,245,245,236
56,O=C(C)/C=C(OC)\O,ketone,,237.9,245,234,236
57,O=C(C)/C=C(Cl)\C,ketone,,230.1,227,234,236
58,O=C(C)/C=C(Cl)\OC,ketone,,234.0,245,234,236
59,O=C(C)C=C(Cl)Cl,ketone,,233.2,227,234,236
60,O=C(C)/C=C(Cl)\Br,ketone,,252.9,245,245,236
61,O=C(C)/C=C(Cl)\O,ketone,,239.2,245,234,236
62,O=C(C)/C=C(Br)\C,ketone,,243.2,245,245,236
63,O=C(C)/C=C(Br)\OC,ketone,,259.6,245,245,236
64,O=C(C)/C=C(Br)\Cl,ketone,,244.5,245,245,236
65,O=C(C)C=C(Br)Br,ketone,,251.5,245,245,236
66,O=C(C)/C=C(Br)\O,ketone,,255.1,245,245,236
67,O=C(C)/C=C(O)\C,ketone,,222.8,245,230,236
68,O=C(C)/C=C(O)\OC,ketone,,233.0,245,234,236
69,O=C(C)/C=C(O)\Cl,ketone,,222.9,245,234,236
70,O=C(C)/C=C(O)\Br,ketone,,253.5,245,245,236
71,O=C(C)C=C(O)O,ketone,,263.8,245,226,236
0,O=C(C)C(C)=C(C)C,ketone,,244.0,237,241,247
3,O=C(C)C(C)=C,ketone,,215.0,225,223,224
4,O=C(C)C(OC)=C(OC)OC,ketone,,263.8,280,262,247
7,O=C(C)C(OC)=C,ketone,,258.3,250,240,224
8,O=C(C)C(Cl)=C(Cl)Cl,ketone,,267.5,242,262,247
11,O=C(C)C(Cl)=C,ketone,,244.1,230,240,224
12,O=C(C)C(Br)=C(Br)Br,ketone,,294.7,270,283,247
15,O=C(C)C(Br)=C,ketone,,265.8,240,250,224
16,O=C(C)C(O)=C(O)O,ketone,,276.0,280,264,247
19,O=C(C)C(O)=C,ketone,,245.7,250,250,224
21,O=C(C)/C=C/C,ketone,,220.9,227,230,224
23,O=C(C)/C=C/OC,ketone,,220.8,245,234,224
25,O=C(C)/C=C/Cl,ketone,,232.0,227,234,224
27,O=C(C)/C=C/Br,ketone,,240.2,245,245,224
29,O=C(C)/C=C/O,ketone,,218.4,245,226,224
30,O=C(C)/C=C\C,ketone,,210.3,227,230,224
31,O=C(C)/C=C\OC,ketone,,228.1,245,234,224
32,O=C(C)/C=C\Cl,ketone,,223.4,227,234,224
33,O=C(C)/C=C\Br,ketone,,237.1,245,245,224
34,O=C(C)/C=C\O,ketone,,218.9,245,226,224
35,O=C(C)C=C,ketone,,199.9,215,212,213
0,C1(=O)C(C)=C(Cl)CC1,cyclopentenone,,225.5,237,245,247
1,C1(=O)C(C)=C(Br)CC1,cyclopentenone,,234.3,255,256,247
2,C1(=O)C(C)=C(O)CC1,cyclopentenone,,217.5,255,241,247
3,C1(=O)C(C)=C(OC)CC1,cyclopentenone,,226.1,255,245,247
4,C1(=O)C(Cl)=C(C)CC1,cyclopentenone,,235.1,242,258,247
5,C1(=O)C(Br)=C(C)CC1,cyclopentenone,,244.5,252,268,247
6,C1(=O)C(O)=C(C)CC1,cyclopentenone,,242.0,262,268,247
7,C1(=O)C(OC)=C(C)CC1,cyclopentenone,,262.4,262,258,247
8,C1(=O)C(O)=C(Cl)CC1,cyclopentenone,,246.0,262,272,247
9,C1(=O)C(O)=C(Br)CC1,cyclopentenone,,260.8,280,283,247
10,C1(=O)C(O)=C(OC)CC1,cyclopentenone,,247.0,280,272,247
11,C1(=O)C(Cl)=C(O)CC1,cyclopentenone,,233.0,260,258,247
12,C1(=O)C(Br)=C(O)CC1,cyclopentenone,,231.9,270,268,247
13,C1(=O)C(OC)=C(O)CC1,cyclopentenone,,249.8,280,258,247
14,C1(=O)C(OC)=C(Cl)CC1,cyclopentenone,,266.7,262,262,247
15,C1(=O)C(OC)=C(Br)CC1,cyclopentenone,,271.1,280,273,247
16,C1(=O)C(Cl)=C(OC)CC1,cyclopentenone,,238.5,260,262,247
17,C1(=O)C(Br)=C(OC)CC1,cyclopentenone,,242.1,270,272,247
18,C1(=O)C(Cl)=C(Br)CC1,cyclopentenone,,246.9,260,273,247
19,C1(=O)C(Br)=C(Cl)CC1,cyclopentenone,,251.1,252,272,247
0,C1(=O)C=CCC1,cyclopentenone,,204.4,227,230,224
1,C1(=O)C(C)=CCC1,cyclopentenone,,214.8,237,241,236
2,C1(=O)C=C(C)CC1,cyclopentenone,,211.6,227,230,236
3,C1(=O)C(C)=C(C)CC1,cyclopentenone,,221.2,237,241,247
4,C1(=O)C(O)=CCC1,cyclopentenone,,248.1,262,268,236
5,C1(=O)C=C(O)CC1,cyclopentenone,,209.1,245,230,236
6,C1(=O)C(O)=C(O)CC1,cyclopentenone,,280.3,280,268,247
7,C1(=O)C(OC)=CCC1,cyclopentenone,,262.1,262,258,236
8,C1(=O)C=C(OC)CC1,cyclopentenone,,210.9,245,234,236
9,C1(=O)C(OC)=C(OC)CC1,cyclopentenone,,264.1,280,262,247
10,C1(=O)C(Br)=CCC1,cyclopentenone,,247.8,252,268,236
11,C1(=O)C=C(Br)CC1,cyclopentenone,,228.2,245,245,236
12,C1(=O)C(Br)=C(Br)CC1,cyclopentenone,,255.2,270,283,247
13,C1(=O)C(Cl)=CCC1,cyclopentenone,,234.3,242,258,236
14,C1(=O)C=C(Cl)CC1,cyclopentenone,,217.4,227,234,236
15,C1(=O)C(Cl)=C(Cl)CC1,cyclopentenone,,241.2,242,262,247
0,C1(=O)C(C)=C(Cl)CCC1,cyclohexenone,,238.8,237,245,247
1,C1(=O)C(C)=C(Br)CCC1,cyclohexenone,,247.1,255,256,247
2,C1(=O)C(C)=C(O)CCC1,cyclohexenone,,229.7,255,241,247
3,C1(=O)C(C)=C(OC)CCC1,cyclohexenone,,241.3,255,245,247
4,C1(=O)C(Cl)=C(C)CCC1,cyclohexenone,,249.9,242,258,247
5,C1(=O)C(Br)=C(C)CCC1,cyclohexenone,,263.1,252,268,247
6,C1(=O)C(O)=C(C)CCC1,cyclohexenone,,275.9,262,268,247
7,C1(=O)C(OC)=C(C)CCC1,cyclohexenone,,256.8,262,258,247
8,C1(=O)C(O)=C(Cl)CCC1,cyclohexenone,,279.9,262,272,247
9,C1(=O)C(O)=C(Br)CCC1,cyclohexenone,,285.1,280,283,247
10,C1(=O)C(O)=C(OC)CCC1,cyclohexenone,,280.8,280,272,247
11,C1(=O)C(Cl)=C(O)CCC1,cyclohexenone,,240.7,260,258,247
12,C1(=O)C(Br)=C(O)CCC1,cyclohexenone,,258.6,270,268,247
13,C1(=O)C(OC)=C(O)CCC1,cyclohexenone,,252.4,280,258,247
14,C1(=O)C(OC)=C(Cl)CCC1,cyclohexenone,,262.6,262,262,247
15,C1(=O)C(OC)=C(Br)CCC1,cyclohexenone,,267.8,280,273,247
16,C1(=O)C(Cl)=C(OC)CCC1,cyclohexenone,,255.6,260,262,247
17,C1(=O)C(Br)=C(OC)CCC1,cyclohexenone,,264.1,270,272,247
18,C1(=O)C(Cl)=C(Br)CCC1,cyclohexenone,,261.6,260,273,247
19,C1(=O)C(Br)=C(Cl)CCC1,cyclohexenone,,268.6,252,272,247
0,C1(=O)C=CCCC1,cyclohexenone,,212.9,227,230,224
1,C1(=O)C(C)=CCCC1,cyclohexenone,,226.4,237,241,236
2,C1(=O)C=C(C)CCC1,cyclohexenone,,217.1,227,230,236
3,C1(=O)C(C)=C(C)CCC1,cyclohexenone,,231.5,237,241,247
4,C1(=O)C(O)=CCCC1,cyclohexenone,,256.5,262,268,236
5,C1(=O)C=C(O)CCC1,cyclohexenone,,218.9,245,230,236
6,C1(=O)C(O)=C(O)CCC1,cyclohexenone,,265.2,280,268,247
7,C1(=O)C(OC)=CCCC1,cyclohexenone,,259.0,262,258,236
8,C1(=O)C=C(OC)CCC1,cyclohexenone,,221.9,245,234,236
9,C1(=O)C(OC)=C(OC)CCC1,cyclohexenone,,258.7,280,262,247
10,C1(=O)C(Br)=CCCC1,cyclohexenone,,267.2,252,268,236
11,C1(=O)C=C(Br)CCC1,cyclohexenone,,241.2,245,245,236
12,C1(=O)C(Br)=C(Br)CCC1,cyclohexenone,,272.5,270,283,247
13,C1(=O)C(Cl)=CCCC1,cyclohexenone,,250.6,242,258,236
14,C1(=O)C=C(Cl)CCC1,cyclohexenone,,228.8,227,234,236
15,C1(=O)C(Cl)=C(Cl)CCC1,cyclohexenone,,256.1,242,262,247
